DATE,KYSTHPI
1975-01-01,64.14
1975-04-01,65.68
1975-07-01,66.84
1975-10-01,68.3
1976-01-01,69.46
1976-04-01,68.58
1976-07-01,69.05
1976-10-01,69.31
1977-01-01,69.85
1977-04-01,73.44
1977-07-01,76.46
1977-10-01,78.5
1978-01-01,81.55
1978-04-01,83.9
1978-07-01,88.51
1978-10-01,91.73
1979-01-01,95.59
1979-04-01,97.65
1979-07-01,96.85
1979-10-01,99.33
1980-01-01,100.00
1980-04-01,101.0
1980-07-01,101.15
1980-10-01,104.55
1981-01-01,107.37
1981-04-01,105.71
1981-07-01,103.27
1981-10-01,103.56
1982-01-01,106.58
1982-04-01,106.44
1982-07-01,104.49
1982-10-01,107.01
1983-01-01,108.47
1983-04-01,109.64
1983-07-01,109.97
1983-10-01,109.09
1984-01-01,112.69
1984-04-01,110.54
1984-07-01,112.73
1984-10-01,112.62
1985-01-01,114.14
1985-04-01,115.28
1985-07-01,114.7
1985-10-01,116.92
1986-01-01,118.65
1986-04-01,120.66
1986-07-01,120.8
1986-10-01,123.5
1987-01-01,125.0
1987-04-01,126.28
1987-07-01,129.14
1987-10-01,129.43
1988-01-01,131.7
1988-04-01,132.8
1988-07-01,135.01
1988-10-01,136.3
1989-01-01,137.91
1989-04-01,138.85
1989-07-01,141.78
1989-10-01,142.4
1990-01-01,142.95
1990-04-01,144.18
1990-07-01,145.22
1990-10-01,144.87
1991-01-01,147.29
1991-04-01,148.5
1991-07-01,149.28
1991-10-01,151.19
1992-01-01,152.23
1992-04-01,153.46
1992-07-01,155.51
1992-10-01,156.81
1993-01-01,157.66
1993-04-01,159.51
1993-07-01,160.71
1993-10-01,162.64
1994-01-01,165.33
1994-04-01,169.65
1994-07-01,171.11
1994-10-01,172.97
1995-01-01,174.9
1995-04-01,177.79
1995-07-01,180.26
1995-10-01,181.98
1996-01-01,184.17
1996-04-01,185.88
1996-07-01,187.74
1996-10-01,189.66
1997-01-01,192.58
1997-04-01,193.62
1997-07-01,195.86
1997-10-01,198.27
1998-01-01,200.06
1998-04-01,202.41
1998-07-01,204.89
1998-10-01,207.57
1999-01-01,209.41
1999-04-01,211.77
1999-07-01,213.63
1999-10-01,215.37
2000-01-01,218.6
2000-04-01,220.58
2000-07-01,222.47
2000-10-01,225.3
2001-01-01,229.67
2001-04-01,231.72
2001-07-01,233.64
2001-10-01,235.51
2002-01-01,237.36
2002-04-01,238.99
2002-07-01,241.51
2002-10-01,243.79
2003-01-01,245.83
2003-04-01,247.74
2003-07-01,249.82
2003-10-01,253.46
2004-01-01,256.53
2004-04-01,258.75
2004-07-01,261.81
2004-10-01,266.81
2005-01-01,268.7
2005-04-01,272.39
2005-07-01,276.91
2005-10-01,278.28
2006-01-01,280.9
2006-04-01,281.86
2006-07-01,283.02
2006-10-01,286.12
2007-01-01,288.55
2007-04-01,289.32
2007-07-01,288.9
2007-10-01,292.0
2008-01-01,293.33
2008-04-01,293.2
2008-07-01,288.7
2008-10-01,290.51
2009-01-01,293.02
2009-04-01,290.15
2009-07-01,286.76
2009-10-01,286.75
2010-01-01,284.82
2010-04-01,283.62
2010-07-01,287.61
2010-10-01,287.21
2011-01-01,283.07
2011-04-01,280.3
2011-07-01,282.52
2011-10-01,283.57
2012-01-01,283.28
2012-04-01,282.26
2012-07-01,284.49
2012-10-01,285.62
2013-01-01,285.47
2013-04-01,286.24
2013-07-01,285.8
2013-10-01,284.59
2014-01-01,284.77
2014-04-01,289.15
2014-07-01,290.5
2014-10-01,292.57
2015-01-01,295.43
2015-04-01,299.02
2015-07-01,300.65
2015-10-01,303.03
2016-01-01,304.65
2016-04-01,310.16
2016-07-01,313.4
2016-10-01,315.27
2017-01-01,318.25
2017-04-01,324.51
2017-07-01,329.03
2017-10-01,329.68
2018-01-01,334.14
2018-04-01,338.51
2018-07-01,341.28
2018-10-01,342.95
2019-01-01,346.56
2019-04-01,352.03
2019-07-01,357.35
2019-10-01,359.58
2020-01-01,363.69
2020-04-01,367.74
2020-07-01,374.11
2020-10-01,381.76
2021-01-01,388.74
2021-04-01,406.72
2021-07-01,427.28
2021-10-01,441.01
2022-01-01,453.17
2022-04-01,479.78
