DATE,RTWVDKY684NMFRBDAL
1988-01-01,100.0000
1988-02-01,100.6271
1988-03-01,99.2305
1988-04-01,98.3568
1988-05-01,98.7119
1988-06-01,100.2481
1988-07-01,102.69
1988-08-01,104.1444
1988-09-01,104.2981
1988-10-01,101.8917
1988-11-01,99.6
1988-12-01,99.079
1989-01-01,101.2823
1989-02-01,101.7307
1989-03-01,103.1591
1989-04-01,103.9735
1989-05-01,106.7798
1989-06-01,108.5043
1989-07-01,105.5466
1989-08-01,106.0326
1989-09-01,107.0232
1989-10-01,104.7404
1989-11-01,104.2246
1989-12-01,102.3548
1990-01-01,101.6568
1990-02-01,101.9183
1990-03-01,102.9232
1990-04-01,102.0261
1990-05-01,101.0258
1990-06-01,101.6001
1990-07-01,99.469
1990-08-01,97.6234
1990-09-01,97.4884
1990-10-01,95.3961
1990-11-01,94.5896
1990-12-01,95.4459
1991-01-01,95.013
1991-02-01,93.8135
1991-03-01,97.6764
1991-04-01,99.1594
1991-05-01,99.5329
1991-06-01,101.1503
1991-07-01,100.9746
1991-08-01,99.8276
1991-09-01,98.5252
1991-10-01,97.5885
1991-11-01,95.8591
1991-12-01,94.9003
1992-01-01,94.8459
1992-02-01,96.5718
1992-03-01,98.507
1992-04-01,97.8432
1992-05-01,97.0145
1992-06-01,95.6936
1992-07-01,94.046
1992-08-01,93.4519
1992-09-01,94.1556
1992-10-01,96.1255
1992-11-01,99.3468
1992-12-01,99.4096
1993-01-01,100.4115
1993-02-01,99.9712
1993-03-01,99.0399
1993-04-01,97.3668
1993-05-01,97.2325
1993-06-01,97.7484
1993-07-01,98.799
1993-08-01,98.7534
1993-09-01,98.4561
1993-10-01,99.5514
1993-11-01,100.3436
1993-12-01,100.8133
1994-01-01,101.1286
1994-02-01,101.4969
1994-03-01,101.9441
1994-04-01,102.3725
1994-05-01,101.7627
1994-06-01,101.2195
1994-07-01,100.0844
1994-08-01,100.0272
1994-09-01,98.7703
1994-10-01,98.1229
1994-11-01,98.5818
1994-12-01,100.5837
1995-01-01,101.613
1995-02-01,100.8203
1995-03-01,99.2966
1995-04-01,96.1881
1995-05-01,95.9767
1995-06-01,96.2826
1995-07-01,95.9026
1995-08-01,97.8224
1995-09-01,98.7544
1995-10-01,98.5702
1995-11-01,99.1129
1995-12-01,99.9231
1996-01-01,100.8429
1996-02-01,101.0256
1996-03-01,100.9829
1996-04-01,101.1145
1996-05-01,101.467
1996-06-01,101.6006
1996-07-01,101.5772
